index,work_id,subject
1021,151229,Rivers/Lakes
1022,151251,Bridges
1023,151262,Rivers/Lakes
1024,151273,Rivers/Lakes
1025,151273,Spring
1026,199708,Rivers/Lakes
1027,151295,Rivers/Lakes
1028,27662,Nude
1029,27668,Spring
1030,27670,Bridges
1031,27676,Cafes/Bars
1032,27684,Dancers
1033,27686,Dancers
1034,27694,Nude
1035,27696,Nude
1036,27700,Flowers
1037,27706,Rivers/Lakes
1038,27712,Lovers
1039,154043,Nude
1040,153898,Dogs
1041,154162,Nude
1042,175754,Nude
1043,25640,Horses
1044,25643,Flowers
1045,25647,Jesus Christ
1046,25649,Jesus Christ
1047,25651,Jesus Christ
1048,25653,Horses
1049,25663,Horses
1050,25672,Tigers
1051,25674,Tigers
1052,25676,Tigers
1053,206174,Portraits
1054,25682,Horses
1055,25690,Tigers
1056,25692,Portraits
1057,25696,Flowers
1058,25696,Still-Life
1059,17840,Seascapes
1060,17842,Seascapes
1061,17848,Seascapes
1062,17850,Seascapes
1063,17852,Seascapes
1064,17864,Seascapes
1065,17868,Seascapes
1066,17846,Seascapes
1067,17870,Rivers/Lakes
1068,17872,Rivers/Lakes
1069,17880,Seascapes
1070,17888,Rivers/Lakes
1071,17890,Rivers/Lakes
1072,17892,Rivers/Lakes
1073,30086,Flowers
1074,30092,Flowers
1075,20352,Cafes/Bars
1076,20357,Musics
1077,20368,Bridges
1078,208746,Still-Life
1079,208671,Nude
1080,20376,Still-Life
1081,20382,Nude
1082,20384,Nude
1083,20386,Flowers
1084,20386,Still-Life
1085,20388,Flowers
1086,20388,Still-Life
1087,30296,Rivers/Lakes
1088,30300,Portraits
1089,30302,Portraits
1090,30308,Churches/Temples/Mosques
1091,30306,Churches/Temples/Mosques
1092,30320,Spring
1093,22399,Nude
1094,22404,Still-Life
1095,22405,Still-Life
1096,22406,Still-Life
1097,22419,Gardens
1098,27089,Marine Art/Maritime
1099,199079,Marine Art/Maritime
1100,27091,Marine Art/Maritime
1101,207626,Marine Art/Maritime
1102,27093,Marine Art/Maritime
1103,27095,Marine Art/Maritime
1104,27097,Marine Art/Maritime
1105,27099,Marine Art/Maritime
1106,26300,Architectures
1107,26302,Architectures
1108,26304,Architectures
1109,26306,Architectures
1110,26310,Architectures
1111,26308,Architectures
1112,26314,Architectures
1113,26312,Architectures
1114,26316,Architectures
1115,26318,Architectures
1116,26320,Architectures
1117,26320,Rivers/Lakes
1118,26322,Architectures
1119,26322,Rivers/Lakes
1120,26324,Architectures
1121,26326,Architectures
1122,26328,Architectures
1123,26330,Architectures
1124,26334,Architectures
1125,26332,Architectures
1126,26336,Architectures
1127,26340,Architectures
1128,26342,Architectures
1129,26344,Architectures
1130,26344,Rivers/Lakes
1131,26348,Architectures
1132,26346,Architectures
1133,28667,Landscape Art
1134,186979,Landscape Art
1135,28669,Landscape Art
1136,186988,Landscape Art
